"No.","Time","Source","Destination","Protocol","Length","Info"
"114","0.621697","37.130.194.56","192.168.0.105","TCP","54","443  >  55539 [ACK] Seq=169 Ack=43296 Win=16391 Len=0"
"115","0.625433","192.168.0.105","37.130.194.56","SSL","125","Continuation Data"
"116","0.628842","37.130.194.56","192.168.0.105","TCP","54","443  >  55539 [ACK] Seq=169 Ack=45427 Win=16391 Len=0"
"117","0.642828","192.168.0.105","37.130.194.56","SSL","127","Continuation Data"
"118","0.642973","192.168.0.105","37.130.194.56","SSL","1113","Continuation Data"
"119","0.648745","192.168.0.105","37.130.194.56","SSL","1114","Continuation Data"
"120","0.659396","37.130.194.56","192.168.0.105","TCP","54","443  >  55539 [ACK] Seq=169 Ack=45571 Win=16391 Len=0"
"121","0.662986","37.130.194.56","192.168.0.105","TCP","54","443  >  55539 [ACK] Seq=169 Ack=47690 Win=16391 Len=0"
"122","0.665757","192.168.0.105","37.130.194.56","SSL","125","Continuation Data"
"123","0.666145","192.168.0.105","37.130.194.56","SSL","1217","Continuation Data"
"124","0.671717","192.168.0.105","37.130.194.56","SSL","1218","Continuation Data"
"125","0.675709","192.168.0.105","37.130.194.56","SSL","126","Continuation Data"
"126","0.680173","37.130.194.56","192.168.0.105","TCP","54","443  >  55539 [ACK] Seq=169 Ack=48924 Win=16391 Len=0"
"127","0.683803","192.168.0.105","37.130.194.56","SSL","122","Continuation Data"
"128","0.689506","37.130.194.56","192.168.0.105","TCP","54","443  >  55539 [ACK] Seq=169 Ack=50160 Win=16391 Len=0"
"129","0.699771","192.168.0.105","37.130.194.56","SSL","78","Continuation Data"
"130","0.707742","192.168.0.105","37.130.194.56","SSL","132","Continuation Data"
"131","0.714264","37.130.194.56","192.168.0.105","TCP","54","443  >  55539 [ACK] Seq=169 Ack=50252 Win=16391 Len=0"
"132","0.725773","192.168.0.105","37.130.194.56","SSL","134","Continuation Data"
"133","0.726320","192.168.0.105","37.130.194.56","SSL","1001","Continuation Data"
"134","0.726584","192.168.0.105","37.130.194.56","SSL","1002","Continuation Data"
"135","0.743319","192.168.0.105","37.130.194.56","SSL","131","Continuation Data"
"136","0.743628","37.130.194.56","192.168.0.105","TCP","54","443  >  55539 [ACK] Seq=169 Ack=50410 Win=16391 Len=0"
"137","0.743723","37.130.194.56","192.168.0.105","TCP","54","443  >  55539 [ACK] Seq=169 Ack=52305 Win=16391 Len=0"
"138","0.755011","192.168.0.105","37.130.194.56","SSL","1182","Continuation Data"
"139","0.760969","192.168.0.105","37.130.194.56","SSL","1182","Continuation Data"
"140","0.767058","192.168.0.105","37.130.194.56","SSL","131","Continuation Data"
"141","0.769299","37.130.194.56","192.168.0.105","TCP","54","443  >  55539 [ACK] Seq=169 Ack=53510 Win=16391 Len=0"
"142","0.778971","192.168.0.105","37.130.194.56","SSL","1230","Continuation Data"
"143","0.781273","37.130.194.56","192.168.0.105","TCP","54","443  >  55539 [ACK] Seq=169 Ack=54715 Win=16391 Len=0"
"144","0.784886","192.168.0.105","37.130.194.56","SSL","131","Continuation Data"
"145","0.785201","192.168.0.105","37.130.194.56","SSL","1230","Continuation Data"
"146","0.799029","37.130.194.56","192.168.0.105","TCP","54","443  >  55539 [ACK] Seq=169 Ack=55968 Win=16391 Len=0"
"147","0.802868","192.168.0.105","37.130.194.56","SSL","129","Continuation Data"
"148","0.815049","192.168.0.105","37.130.194.56","SSL","1245","Continuation Data"
"149","0.818493","37.130.194.56","192.168.0.105","TCP","54","443  >  55539 [ACK] Seq=169 Ack=57219 Win=16391 Len=0"
"150","0.820977","192.168.0.105","37.130.194.56","SSL","1245","Continuation Data"
"151","0.826936","192.168.0.105","37.130.194.56","SSL","127","Continuation Data"
"152","0.835430","37.130.194.56","192.168.0.105","TCP","54","443  >  55539 [ACK] Seq=169 Ack=59601 Win=16391 Len=0"
"153","0.845061","192.168.0.105","37.130.194.56","SSL","127","Continuation Data"
"154","0.856918","192.168.0.105","37.130.194.56","SSL","1196","Continuation Data"
"155","0.859982","37.130.194.56","192.168.0.105","TCP","54","443  >  55539 [ACK] Seq=169 Ack=59747 Win=16391 Len=0"
"156","0.862719","192.168.0.105","37.130.194.56","SSL","128","Continuation Data"
"157","0.862960","192.168.0.105","37.130.194.56","SSL","1196","Continuation Data"
"158","0.877023","37.130.194.56","192.168.0.105","TCP","54","443  >  55539 [ACK] Seq=169 Ack=60963 Win=16391 Len=0"
"159","0.880688","192.168.0.105","37.130.194.56","SSL","1151","Continuation Data"
"160","0.886652","192.168.0.105","37.130.194.56","SSL","139","Continuation Data"
"161","0.886844","192.168.0.105","37.130.194.56","SSL","1152","Continuation Data"
"162","0.895610","37.130.194.56","192.168.0.105","TCP","54","443  >  55539 [ACK] Seq=169 Ack=63202 Win=16391 Len=0"
"163","0.901536","37.130.194.56","192.168.0.105","TCP","54","443  >  55539 [ACK] Seq=169 Ack=64385 Win=16391 Len=0"
"164","0.904694","192.168.0.105","37.130.194.56","SSL","145","Continuation Data"
"165","0.916722","192.168.0.105","37.130.194.56","SSL","1052","Continuation Data"
"166","0.922592","192.168.0.105","37.130.194.56","SSL","148","Continuation Data"
"167","0.922872","192.168.0.105","37.130.194.56","SSL","1053","Continuation Data"
"168","0.932165","37.130.194.56","192.168.0.105","TCP","54","443  >  55539 [ACK] Seq=169 Ack=65474 Win=16391 Len=0"
"169","0.936916","37.130.194.56","192.168.0.105","TCP","54","443  >  55539 [ACK] Seq=169 Ack=66567 Win=16391 Len=0"
"170","0.940001","192.168.0.105","37.130.194.56","SSL","1007","Continuation Data"
"171","0.945991","192.168.0.105","37.130.194.56","SSL","142","Continuation Data"
"172","0.946271","192.168.0.105","37.130.194.56","SSL","1007","Continuation Data"
"173","0.960113","37.130.194.56","192.168.0.105","TCP","54","443  >  55539 [ACK] Seq=169 Ack=67608 Win=16391 Len=0"
"174","0.964097","192.168.0.105","37.130.194.56","SSL","143","Continuation Data"
"175","0.976007","192.168.0.105","37.130.194.56","SSL","911","Continuation Data"
"176","0.976257","192.168.0.105","37.130.194.56","SSL","911","Continuation Data"
"177","0.987954","192.168.0.105","37.130.194.56","SSL","141","Continuation Data"
"178","0.988336","37.130.194.56","192.168.0.105","TCP","54","443  >  55539 [ACK] Seq=169 Ack=68650 Win=16391 Len=0"
"179","0.991535","37.130.194.56","192.168.0.105","TCP","54","443  >  55539 [ACK] Seq=169 Ack=70364 Win=16391 Len=0"
"180","1.005900","192.168.0.105","37.130.194.56","SSL","136","Continuation Data"
"181","1.006291","192.168.0.105","37.130.194.56","SSL","1243","Continuation Data"
"182","1.011820","192.168.0.105","37.130.194.56","SSL","1243","Continuation Data"
"183","1.020383","37.130.194.56","192.168.0.105","TCP","54","443  >  55539 [ACK] Seq=169 Ack=70533 Win=16391 Len=0"
"184","1.023921","192.168.0.105","37.130.194.56","SSL","142","Continuation Data"
"185","1.027716","37.130.194.56","192.168.0.105","TCP","54","443  >  55539 [ACK] Seq=169 Ack=72911 Win=16391 Len=0"
"186","1.041803","192.168.0.105","37.130.194.56","SSL","880","Continuation Data"
"187","1.042206","192.168.0.105","37.130.194.56","SSL","880","Continuation Data"
"188","1.047885","192.168.0.105","37.130.194.56","SSL","141","Continuation Data"
"189","1.048323","192.168.0.105","37.130.194.56","SSL","881","Continuation Data"
"190","1.057275","37.130.194.56","192.168.0.105","TCP","54","443  >  55539 [ACK] Seq=169 Ack=73825 Win=16391 Len=0"
"191","1.062141","37.130.194.56","192.168.0.105","TCP","54","443  >  55539 [ACK] Seq=169 Ack=74738 Win=16391 Len=0"
"192","1.065870","192.168.0.105","37.130.194.56","SSL","143","Continuation Data"
"193","1.077777","192.168.0.105","37.130.194.56","SSL","1153","Continuation Data"
"194","1.080464","37.130.194.56","192.168.0.105","TCP","54","443  >  55539 [ACK] Seq=169 Ack=75654 Win=16391 Len=0"
"195","1.083739","192.168.0.105","37.130.194.56","SSL","146","Continuation Data"
"196","1.084133","192.168.0.105","37.130.194.56","SSL","1153","Continuation Data"
"197","1.098085","37.130.194.56","192.168.0.105","TCP","54","443  >  55539 [ACK] Seq=169 Ack=76845 Win=16391 Len=0"
"198","1.107132","192.168.0.105","37.130.194.56","SSL","153","Continuation Data"
"199","1.107585","192.168.0.105","37.130.194.56","SSL","1115","Continuation Data"
"200","1.113092","192.168.0.105","37.130.194.56","SSL","1115","Continuation Data"
"201","1.124982","37.130.194.56","192.168.0.105","TCP","54","443  >  55539 [ACK] Seq=169 Ack=78043 Win=16391 Len=0"
"202","1.125039","192.168.0.105","37.130.194.56","SSL","151","Continuation Data"
"203","1.127407","37.130.194.56","192.168.0.105","TCP","54","443  >  55539 [ACK] Seq=169 Ack=80165 Win=16391 Len=0"
"204","1.142941","192.168.0.105","37.130.194.56","SSL","147","Continuation Data"
"205","1.143277","192.168.0.105","37.130.194.56","SSL","1053","Continuation Data"
"206","1.149006","192.168.0.105","37.130.194.56","SSL","1054","Continuation Data"
"207","1.159070","37.130.194.56","192.168.0.105","TCP","54","443  >  55539 [ACK] Seq=169 Ack=80355 Win=16391 Len=0"
"208","1.164810","37.130.194.56","192.168.0.105","TCP","54","443  >  55539 [ACK] Seq=169 Ack=82354 Win=16391 Len=0"
"209","1.167129","192.168.0.105","37.130.194.56","SSL","143","Continuation Data"
"210","1.184937","192.168.0.105","37.130.194.56","SSL","140","Continuation Data"
"211","1.190900","192.168.0.105","37.130.194.56","SSL","1086","Continuation Data"
"212","1.196843","192.168.0.105","37.130.194.56","SSL","1087","Continuation Data"
"213","1.199228","37.130.194.56","192.168.0.105","TCP","54","443  >  55539 [ACK] Seq=169 Ack=82529 Win=16391 Len=0"
"214","1.202772","192.168.0.105","37.130.194.56","SSL","136","Continuation Data"
"215","1.208874","192.168.0.105","37.130.194.56","SSL","1098","Continuation Data"
"216","1.211039","37.130.194.56","192.168.0.105","TCP","54","443  >  55539 [ACK] Seq=169 Ack=84594 Win=16391 Len=0"
"217","1.215000","192.168.0.105","37.130.194.56","SSL","1099","Continuation Data"
"218","1.226290","37.130.194.56","192.168.0.105","TCP","54","443  >  55539 [ACK] Seq=169 Ack=85720 Win=16391 Len=0"
"219","1.226882","192.168.0.105","37.130.194.56","SSL","134","Continuation Data"
"220","1.242272","37.130.194.56","192.168.0.105","TCP","54","443  >  55539 [ACK] Seq=169 Ack=86845 Win=16391 Len=0"
"221","1.246132","192.168.0.105","37.130.194.56","SSL","132","Continuation Data"
"222","1.251695","192.168.0.105","37.130.194.56","SSL","1056","Continuation Data"
