"No.","Time","Source","Destination","Protocol","Length","Info"
"104","0.161010","192.168.0.105","91.108.29.170","UDP","155","1703  >  58415 Len=113"
"105","0.172471","91.108.29.170","192.168.0.105","UDP","123","58415  >  1703 Len=81"
"106","0.177063","192.168.0.105","91.108.29.170","UDP","738","1703  >  58415 Len=696"
"107","0.177529","192.168.0.105","91.108.29.170","UDP","738","1703  >  58415 Len=696"
"108","0.177765","192.168.0.105","91.108.29.170","UDP","738","1703  >  58415 Len=696"
"109","0.177853","192.168.0.105","91.108.29.170","UDP","738","1703  >  58415 Len=696"
"110","0.177907","192.168.0.105","91.108.29.170","UDP","738","1703  >  58415 Len=696"
"111","0.178022","192.168.0.105","91.108.29.170","UDP","738","1703  >  58415 Len=696"
"112","0.178116","192.168.0.105","91.108.29.170","UDP","738","1703  >  58415 Len=696"
"113","0.178186","192.168.0.105","91.108.29.170","UDP","738","1703  >  58415 Len=696"
"114","0.178244","192.168.0.105","91.108.29.170","UDP","738","1703  >  58415 Len=696"
"115","0.178423","192.168.0.105","91.108.29.170","UDP","738","1703  >  58415 Len=696"
"116","0.178479","192.168.0.105","91.108.29.170","UDP","738","1703  >  58415 Len=696"
"117","0.178544","192.168.0.105","91.108.29.170","UDP","738","1703  >  58415 Len=696"
"118","0.178601","192.168.0.105","91.108.29.170","UDP","738","1703  >  58415 Len=696"
"119","0.178664","192.168.0.105","91.108.29.170","UDP","738","1703  >  58415 Len=696"
"120","0.178721","192.168.0.105","91.108.29.170","UDP","738","1703  >  58415 Len=696"
"121","0.178781","192.168.0.105","91.108.29.170","UDP","738","1703  >  58415 Len=696"
"122","0.178845","192.168.0.105","91.108.29.170","UDP","738","1703  >  58415 Len=696"
"123","0.178913","192.168.0.105","91.108.29.170","UDP","738","1703  >  58415 Len=696"
"124","0.178970","192.168.0.105","91.108.29.170","UDP","738","1703  >  58415 Len=696"
"125","0.179036","192.168.0.105","91.108.29.170","UDP","725","1703  >  58415 Len=683"
"126","0.179093","192.168.0.105","91.108.29.170","UDP","758","1703  >  58415 Len=716"
"127","0.179156","192.168.0.105","91.108.29.170","UDP","758","1703  >  58415 Len=716"
"128","0.179827","192.168.0.105","91.108.29.170","UDP","145","1703  >  58415 Len=103"
"129","0.189161","91.108.29.170","192.168.0.105","UDP","120","58415  >  1703 Len=78"
"130","0.201621","192.168.0.105","91.108.29.170","UDP","139","1703  >  58415 Len=97"
"131","0.206996","91.108.29.170","192.168.0.105","UDP","884","58415  >  1703 Len=842"
